age,estimated_salary,purchased
56,67733,0
46,80318,0
32,82172,0
60,108264,0
25,41736,0
38,127859,1
56,127181,0
36,146926,0
40,105084,0
28,22392,0
28,70680,0
41,65859,0
53,140657,0
57,85467,0
41,113506,0
20,124751,0
39,133906,0
19,40342,0
41,121308,0
61,121081,0
47,104045,1
55,49698,0
19,125078,0
38,95623,0
50,37671,0
29,108384,0
39,101202,0
61,66663,1
42,30708,0
44,106906,0
59,64811,0
45,148883,0
33,71250,0
32,127547,1
64,139249,0
61,49754,1
20,148983,1
54,99896,0
24,86295,0
38,115689,0
26,26111,0
56,52504,0
35,147874,0
21,23155,0
42,54384,0
31,127561,1
26,62254,0
43,36918,1
19,100981,0
37,45306,0
45,61843,0
64,135975,0
24,111601,1
61,122512,0
25,126472,1
64,148121,0
52,118727,0
31,127893,0
34,35932,1
53,132796,1
57,44855,0
21,22400,0
19,132858,0
23,30151,0
59,81690,1
21,19499,1
46,21295,0
35,135885,0
43,141071,0
61,74040,0
51,27183,1
27,131336,0
53,47711,1
31,20539,0
48,141063,1
32,148629,0
25,53360,0
31,148272,1
40,36357,0
57,134121,0
38,92505,1
33,17869,1
62,65108,0
35,127296,0
64,109179,0
41,105272,0
43,53467,0
42,38328,0
62,106412,0
58,73871,0
46,143391,0
32,101416,0
62,85271,0
18,59064,0
42,122450,0
24,34830,0
26,131381,1
41,62333,0
18,149508,0
61,91213,0
25,45746,0
41,64377,0
28,69045,0
34,112888,0
25,122455,0
52,108179,0
52,60714,1
50,117946,0
22,124616,0
59,120983,0
56,139123,1
58,58484,0
45,97989,0
24,51212,1
26,58525,1
25,78208,1
29,48828,0
51,18420,0
50,111752,0
40,146373,0
41,130294,0
54,139019,0
52,80726,1
61,130668,0
57,21102,0
39,133015,0
44,41641,0
52,118746,0
18,51631,0
52,87991,0
54,19014,0
64,26093,0
31,33070,0
20,50777,1
18,71958,0
22,97074,0
43,25729,1
31,120864,0
56,145858,1
44,120510,0
26,69748,1
32,20801,0
32,44592,1
43,25647,0
59,125627,1
30,85316,0
49,17368,0
56,92575,1
49,21655,0
21,85031,0
47,102922,0
54,139046,0
40,47097,0
56,139862,0
62,133834,1
32,108848,0
60,67921,0
46,141141,1
53,37677,1
30,70609,0
49,46024,0
24,85313,0
39,142813,0
45,110285,0
19,128632,0
59,18051,0
62,129692,0
23,102235,1
45,88523,1
45,109476,0
61,32019,0
61,98613,0
37,101672,1
47,88847,0
28,97750,0
45,43251,1
42,118481,1
56,127566,1
50,40945,0
18,105852,0
44,47217,0
30,23308,1
58,20949,1
20,147222,0
56,115235,0
23,89740,0
25,131352,1
44,81617,1
26,31896,0
54,145798,0
50,20237,0
59,35056,1
61,129548,1
41,126488,1
32,149415,0
49,44375,0
49,31964,0
41,128429,0
58,82215,1
29,84042,1
